Artist: Song,URL,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,YT_View_Count,YT_Like_Count,YT_Comment_Count,YT_Duration_Seconds,Exact_Publish_Date
Velvet Underground: Oh! Sweet Nuthin',https://www.youtube.com/watch?v=yhwSPRY51gs,6.0,7.0,6.0,5.0,6.0,4.0,4.0,5.0,8.0,5.0,4.0,7.0,6.0,6.0,6.0,4.0,5.0,6.0,2.0,6.0,5.0,5.0,7.0,6.0,4.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,4.0,9438460,72914,2774,446,2015-10-31
Blondie: Call Me,https://www.youtube.com/watch?v=o3hHsVtqNFQ,5.0,10.0,6.0,8.0,6.0,2.0,7.0,8.0,6.0,8.0,6.0,6.0,9.0,4.0,8.0,3.0,6.0,9.0,5.0,6.0,5.0,7.0,9.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,9.0,6.0,5.0,119087592,836949,5080,487,2018-08-24
Lord Huron: The Night We Met,https://www.youtube.com/watch?v=KtlgYxa6BMU,8.0,9.0,9.0,8.0,8.0,4.0,7.0,4.0,6.0,9.0,9.0,8.0,9.0,6.0,8.0,3.0,7.0,8.0,5.0,8.0,8.0,6.0,4.0,5.0,7.0,10.0,7.0,10.0,9.0,8.0,6.0,5.0,5.0,470907998,4295767,133222,209,2015-02-09
New Order: Age of Consent,https://www.youtube.com/watch?v=gG9fEaITgCk,7.0,8.0,5.0,6.0,7.0,2.0,7.0,4.0,6.0,5.0,8.0,7.0,7.0,7.0,6.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,8.0,6.0,5.0,5.0,6.0,6.0,2.0,3.0,12263305,133048,880,316,2015-09-26
Patsy Cline: Walkin’ After Midnight,https://www.youtube.com/watch?v=bsRNCvHXHHU,4.0,4.0,7.0,9.0,7.0,4.0,4.0,5.0,7.0,7.0,8.0,6.0,3.0,4.0,6.0,5.0,5.0,6.0,3.0,4.0,3.0,6.0,7.0,4.0,5.0,6.0,4.0,4.0,7.0,5.0,7.0,6.0,8.0,16839000,121581,5807,169,2007-05-01
"Chappell Roan: Good Luck, Babe!",https://www.youtube.com/watch?v=1RKqOmSkGgM,3.0,7.0,7.0,4.0,6.0,2.0,5.0,4.0,5.0,6.0,8.0,5.0,5.0,4.0,7.0,2.0,4.0,6.0,5.0,6.0,6.0,4.0,10.0,4.0,3.0,6.0,5.0,9.0,7.0,5.0,4.0,5.0,1.0,139509699,1057718,27294,219,2024-04-05
Best Coast: When I'm With You,https://www.youtube.com/watch?v=iDhtJFbwhOQ,4.0,6.0,4.0,8.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,8.0,4.0,5.0,8.0,3.0,4.0,5.0,2.0,5.0,5.0,4.0,6.0,5.0,5.0,2.0,6.0,7.0,5.0,5.0,5.0,5.0,2.0,319285,5235,191,179,2015-07-15
NMH: In the Aeroplane Over the Sea,https://www.youtube.com/watch?v=1FeD16vu_qQ,8.0,8.0,7.0,5.0,5.0,5.0,6.0,6.0,3.0,4.0,7.0,7.0,8.0,7.0,7.0,7.0,6.0,5.0,3.0,5.0,6.0,6.0,3.0,6.0,7.0,5.0,4.0,7.0,6.0,6.0,4.0,4.0,6.0,8209129,102046,543,203,2020-01-09
Traditional: In the Bleak Midwinter,https://www.youtube.com/watch?v=cBCYZ9jIJkI,5.0,6.0,7.0,6.0,7.0,10.0,8.0,7.0,6.0,9.0,10.0,4.0,6.0,5.0,7.0,10.0,8.0,7.0,7.0,8.0,10.0,8.0,10.0,9.0,6.0,9.0,10.0,9.0,2.0,7.0,9.0,7.0,9.0,1200626,16695,678,230,2022-12-01
Traditional: Mo Ghille Mear,https://www.youtube.com/watch?v=zxjvNUNXhkU,7.0,6.0,8.0,7.0,6.0,5.0,6.0,6.0,4.0,9.0,10.0,5.0,6.0,5.0,6.0,10.0,8.0,4.0,8.0,7.0,4.0,3.0,10.0,2.0,6.0,7.0,8.0,8.0,2.0,6.0,6.0,10.0,7.0,20105540,184666,12777,243,2016-02-05
