Artist: Song,URL,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
Lord Huron: The Night We Met,https://www.youtube.com/watch?v=KtlgYxa6BMU,8.0,9.0,9.0,8.0,8.0,4.0,7.0,4.0,6.0,9.0,9.0,8.0,9.0,6.0,8.0,3.0,7.0,8.0,5.0,8.0,8.0,6.0,4.0,5.0,7.0,10.0,7.0,10.0,9.0,8.0,6.0,5.0,5.0
New Order: Age of Consent,https://www.youtube.com/watch?v=gG9fEaITgCk,7.0,8.0,5.0,6.0,7.0,2.0,7.0,4.0,6.0,5.0,8.0,7.0,7.0,7.0,6.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,8.0,6.0,5.0,5.0,6.0,6.0,2.0,3.0
Patsy Cline: Walkin’ After Midnight,https://www.youtube.com/watch?v=bsRNCvHXHHU,4.0,4.0,7.0,9.0,7.0,4.0,4.0,5.0,7.0,7.0,8.0,6.0,3.0,4.0,6.0,5.0,5.0,6.0,3.0,4.0,3.0,6.0,7.0,4.0,5.0,6.0,4.0,4.0,7.0,5.0,7.0,6.0,8.0
"Chappell Roan: Good Luck, Babe!",https://www.youtube.com/watch?v=1RKqOmSkGgM,3.0,7.0,7.0,4.0,6.0,2.0,5.0,4.0,5.0,6.0,8.0,5.0,5.0,4.0,7.0,2.0,4.0,6.0,5.0,6.0,6.0,4.0,10.0,4.0,3.0,6.0,5.0,9.0,7.0,5.0,4.0,5.0,1.0
Best Coast: When I'm With You,https://www.youtube.com/watch?v=iDhtJFbwhOQ,4.0,6.0,4.0,8.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,8.0,4.0,5.0,8.0,3.0,4.0,5.0,2.0,5.0,5.0,4.0,6.0,5.0,5.0,2.0,6.0,7.0,5.0,5.0,5.0,5.0,2.0
NMH: In the Aeroplane Over the Sea,https://www.youtube.com/watch?v=1FeD16vu_qQ,8.0,8.0,7.0,5.0,5.0,5.0,6.0,6.0,3.0,4.0,7.0,7.0,8.0,7.0,7.0,7.0,6.0,5.0,3.0,5.0,6.0,6.0,3.0,6.0,7.0,5.0,4.0,7.0,6.0,6.0,4.0,4.0,6.0
Traditional: In the Bleak Midwinter,https://www.youtube.com/watch?v=cBCYZ9jIJkI,5.0,6.0,7.0,6.0,7.0,10.0,8.0,7.0,6.0,9.0,10.0,4.0,6.0,5.0,7.0,10.0,8.0,7.0,7.0,8.0,10.0,8.0,10.0,9.0,6.0,9.0,10.0,9.0,2.0,7.0,9.0,7.0,9.0
Traditional: Mo Ghille Mear,https://www.youtube.com/watch?v=zxjvNUNXhkU,7.0,6.0,8.0,7.0,6.0,5.0,6.0,6.0,4.0,9.0,10.0,5.0,6.0,5.0,6.0,10.0,8.0,4.0,8.0,7.0,4.0,3.0,10.0,2.0,6.0,7.0,8.0,8.0,2.0,6.0,6.0,10.0,7.0
A Tribe Called Quest: Can I Kick It?,https://www.youtube.com/watch?v=D-uV8TGjaGU,6.0,5.0,5.0,9.0,6.0,3.0,1.0,3.0,8.0,2.0,2.0,3.0,2.0,7.0,6.0,2.0,4.0,8.0,4.0,7.0,2.0,3.0,1.0,2.0,8.0,8.0,5.0,2.0,8.0,8.0,5.0,10.0,2.0
LDR: The Greatest,https://www.youtube.com/watch?v=mUWOsiwy_1g,3.0,6.0,7.0,7.0,9.0,2.0,7.0,4.0,2.0,6.0,9.0,7.0,5.0,6.0,7.0,2.0,4.0,8.0,2.0,8.0,3.0,5.0,4.0,4.0,6.0,5.0,3.0,7.0,4.0,4.0,7.0,4.0,4.0
